w transmission
300 0.000721414
300.5 0.00115661
301.002 0.00170601
301.504 0.00237255
302.007 0.00317285
302.51 0.00413105
303.015 0.00527225
303.52 0.0066258
304.027 0.00822562
304.534 0.0100945
305.042 0.0122329
305.551 0.0146399
306.06 0.0173392
306.571 0.0203586
307.082 0.0236831
307.595 0.0272639
308.108 0.0310888
308.622 0.0352076
309.136 0.0396523
309.652 0.0443599
310.169 0.0492247
310.686 0.054224
311.204 0.0594373
311.723 0.0649185
312.243 0.0705932
312.764 0.0763349
313.286 0.0821122
313.808 0.0879821
314.332 0.0939429
314.856 0.0998924
315.381 0.105755
315.907 0.111558
316.434 0.11737
316.962 0.123254
317.491 0.129274
318.02 0.135413
318.551 0.141481
319.082 0.147285
319.615 0.152889
320.148 0.158514
320.682 0.164124
321.217 0.169371
321.752 0.174106
322.289 0.17872
322.827 0.183708
323.365 0.188992
323.905 0.193974
324.445 0.1983
324.986 0.202319
325.528 0.2066
326.071 0.211191
326.615 0.215603
327.16 0.219486
327.706 0.223098
328.252 0.22696
328.8 0.231176
329.348 0.235283
329.898 0.238796
330.448 0.241787
330.999 0.244797
331.551 0.24823
332.104 0.251958
332.658 0.255545
333.213 0.258772
333.769 0.26184
334.326 0.265054
334.883 0.268424
335.442 0.271639
336.002 0.274415
336.562 0.276805
337.123 0.279161
337.686 0.281811
338.249 0.28478
338.813 0.28783
339.378 0.290719
339.945 0.293415
340.512 0.296053
341.08 0.298742
341.649 0.301441
342.218 0.304018
342.789 0.306398
343.361 0.308652
343.934 0.310951
344.507 0.313439
345.082 0.316138
345.658 0.318944
346.234 0.321725
346.812 0.324403
347.39 0.326981
347.97 0.329496
348.55 0.331974
349.132 0.334415
349.714 0.3368
350.297 0.339127
350.882 0.341416
351.467 0.343704
352.053 0.346027
352.641 0.348392
353.229 0.350779
353.818 0.353152
354.408 0.35548
354.999 0.357752
355.591 0.359967
356.185 0.362132
356.779 0.364255
357.374 0.366346
357.97 0.368417
358.567 0.370487
359.165 0.372586
359.764 0.374756
360.364 0.377035
360.966 0.37945
361.568 0.381991
362.171 0.384618
362.775 0.387273
363.38 0.389903
363.986 0.392473
364.593 0.394974
365.201 0.397414
365.811 0.399805
366.421 0.402159
367.032 0.404484
367.644 0.406787
368.258 0.409075
368.872 0.411353
369.487 0.413623
370.103 0.415888
